ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
3445d4,2024-11-07 03:50:26.086,2024-11-07 03:50:28.401,2024-11-07 06:31:26.848,9660.762,Medium 2 (between 34000 kg to 136000 kg),-3.53759765625,40.47213363647461,-3.5377197265625,40.472259521484375,KA6,False,18R/36L,2024-11-07,6
346147,2024-11-07 06:29:28.720,2024-11-07 06:29:40.164,2024-11-07 06:31:34.541,125.821,Medium 2 (between 34000 kg to 136000 kg),-3.560927997935902,40.49942275225106,-3.5603661970658735,40.49948094254833,Y1,False,18L/36R,2024-11-07,6
34750a,2024-11-07 06:30:25.655,2024-11-07 06:31:25.037,2024-11-07 06:32:50.362,144.707,Medium 2 (between 34000 kg to 136000 kg),-3.576080322265625,40.491737365722656,-3.5756284540349785,40.49196275614076,Z2,True,18R/36L,2024-11-07,6
342091,2024-11-07 06:30:43.629,2024-11-07 06:31:11.761,2024-11-07 06:32:59.344,135.715,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49941635131836,-3.5603661970658735,40.49948094254833,Y1,True,18L/36R,2024-11-07,6
346082,2024-11-07 06:32:35.346,2024-11-07 06:32:46.780,2024-11-07 06:34:26.384,111.038,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49941635131836,-3.5603505914861504,40.499492580607786,Y1,False,18L/36R,2024-11-07,6
342188,2024-11-07 06:31:34.844,2024-11-07 06:33:01.183,2024-11-07 06:34:37.411,182.567,Medium 2 (between 34000 kg to 136000 kg),-3.576299493963068,40.49249810687566,-3.5757532986727627,40.49264940164857,Z4,True,18R/36L,2024-11-07,6
34530e,2024-11-07 06:33:38.694,2024-11-07 06:34:27.001,2024-11-07 06:36:21.099,162.405,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49942275225106,-3.56036376953125,40.49949645996094,Y1,True,18L/36R,2024-11-07,6
344417,2024-11-07 06:34:26.217,2024-11-07 06:34:36.361,2024-11-07 06:36:35.619,129.402,Medium 2 (between 34000 kg to 136000 kg),-3.576263427734375,40.49249267578125,-3.5757532986727627,40.492661039708025,Z4,False,18R/36L,2024-11-07,6
343694,2024-11-07 06:34:44.385,2024-11-07 06:36:12.814,2024-11-07 06:37:52.871,188.486,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49942275225106,-3.5602569580078125,40.49952749478615,Y1,True,18L/36R,2024-11-07,6
3423c4,2024-11-07 06:35:34.673,2024-11-07 06:36:12.951,2024-11-07 06:38:06.187,151.514,Medium 2 (between 34000 kg to 136000 kg),-3.5763092041015625,40.49250411987305,-3.575768904252486,40.492661039708025,Z4,False,18R/36L,2024-11-07,6
347311,2024-11-07 06:37:13.257,2024-11-07 06:37:36.134,2024-11-07 06:39:31.965,138.708,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49939947613215,-3.56036376953125,40.499473571777344,Y1,False,18L/36R,2024-11-07,6
3451da,2024-11-07 06:38:23.970,2024-11-07 06:38:37.208,2024-11-07 06:40:51.455,147.485,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49941635131836,-3.5603661970658735,40.499492580607786,Y1,False,18L/36R,2024-11-07,6
34758c,2024-11-07 06:40:39.081,2024-11-07 06:40:47.367,2024-11-07 06:41:39.571,60.49,Medium 2 (between 34000 kg to 136000 kg),-3.576283888383345,40.49250974493511,-3.57574462890625,40.4926643371582,Z4,False,18R/36L,2024-11-07,6
344481,2024-11-07 06:41:29.126,2024-11-07 06:41:52.209,2024-11-07 06:43:06.413,97.287,Medium 2 (between 34000 kg to 136000 kg),-3.5763092041015625,40.49249267578125,-3.5756988525390625,40.49267578125,Z4,False,18R/36L,2024-11-07,6
34750b,2024-11-07 06:42:26.528,2024-11-07 06:42:34.103,2024-11-07 06:43:33.478,66.95,Medium 2 (between 34000 kg to 136000 kg),-3.5609130859375,40.49940490722656,-3.56036376953125,40.49948501586914,Y1,False,18L/36R,2024-11-07,6
344197,2024-11-07 06:40:39.286,2024-11-07 06:42:49.627,2024-11-07 06:44:51.611,252.325,Medium 2 (between 34000 kg to 136000 kg),-3.576171875,40.49179458618164,-3.575592041015625,40.49198913574219,Z2,True,18R/36L,2024-11-07,6
3c666a,2024-11-07 06:44:21.991,2024-11-07 06:44:27.635,2024-11-07 06:45:11.624,49.633,Medium 2 (between 34000 kg to 136000 kg),-3.560882568359375,40.49941635131836,-3.5602725635875356,40.49950421866724,Y1,False,18L/36R,2024-11-07,6
347344,2024-11-07 06:42:46.754,2024-11-07 06:42:59.633,2024-11-07 06:46:26.089,219.335,Medium 2 (between 34000 kg to 136000 kg),-3.576283888383345,40.49249810687566,-3.57574462890625,40.492652893066406,Z4,False,18R/36L,2024-11-07,6
346384,2024-11-07 06:43:26.876,2024-11-07 06:45:03.806,2024-11-07 06:46:49.163,202.287,Heavy (larger than 136000 kg),-3.560927997935902,40.50029560671014,-3.5603179931640625,40.5003776550293,Y2,True,18L/36R,2024-11-07,6
346182,2024-11-07 06:47:20.992,2024-11-07 06:47:28.858,2024-11-07 06:48:34.298,73.306,Medium 1 (between 7000 kg and 34000 kg),-3.576283888383345,40.49250974493511,-3.57574462890625,40.4926643371582,Z4,False,18R/36L,2024-11-07,6
3420ca,2024-11-07 06:45:01.892,2024-11-07 06:45:17.131,2024-11-07 06:49:41.775,279.883,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.499427795410156,-3.5603661970658735,40.499492580607786,Y1,False,18L/36R,2024-11-07,6
