icao,hour,day,on_ground_min,on_ground_max,ground,flying
AB10CB,6,1,0.0,0.0,1.0,0.0
AA44CD,6,1,1.0,1.0,0.0,1.0
3444DA,7,1,0.0,0.0,1.0,0.0
4B161F,7,1,0.0,0.0,1.0,0.0
4952C1,7,1,0.0,0.0,1.0,0.0
AB10CB,7,1,0.0,0.0,1.0,0.0
39CEB8,7,1,0.0,0.0,1.0,0.0
501C16,7,1,0.0,0.0,1.0,0.0
345388,7,1,0.0,1.0,1.0,1.0
440611,7,1,0.0,0.0,1.0,0.0
4D00F4,7,1,0.0,0.0,1.0,0.0
34538C,7,1,0.0,0.0,1.0,0.0
347481,7,1,0.0,0.0,1.0,0.0
E06588,7,1,0.0,0.0,1.0,0.0
4CADFD,7,1,0.0,0.0,1.0,0.0
347658,21,6,0.0,0.0,1.0,0.0
3423C3,21,6,0.0,0.0,1.0,0.0
4D200F,21,6,0.0,0.0,1.0,0.0
3424D5,21,6,0.0,0.0,1.0,0.0
34250A,21,6,0.0,0.0,1.0,0.0
4D244A,21,6,0.0,0.0,1.0,0.0
34620D,21,6,0.0,0.0,1.0,0.0
4CAFC2,22,6,0.0,0.0,1.0,0.0
3C6483,22,6,0.0,0.0,1.0,0.0
3C66E9,23,6,0.0,0.0,1.0,0.0
4CA4F2,23,6,0.0,0.0,1.0,0.0
48B204,23,6,0.0,0.0,1.0,0.0
E8026C,0,7,0.0,1.0,1.0,1.0
3420CA,3,7,1.0,1.0,0.0,1.0
347343,3,7,0.0,0.0,1.0,0.0
344346,4,7,0.0,0.0,1.0,0.0
AAA32D,5,7,0.0,0.0,1.0,0.0
495210,5,7,0.0,0.0,1.0,0.0
484442,5,7,0.0,0.0,1.0,0.0
49529A,6,7,0.0,0.0,1.0,0.0
346649,6,7,0.0,0.0,1.0,0.0
4CA8FC,6,7,0.0,0.0,1.0,0.0
3991E8,6,7,0.0,0.0,1.0,0.0
3475DA,6,7,0.0,0.0,1.0,0.0
44B438,6,7,0.0,0.0,1.0,0.0
344455,6,7,0.0,0.0,1.0,0.0
4D23F8,6,7,0.0,0.0,1.0,0.0
4952CE,6,7,0.0,0.0,1.0,0.0
4CADBA,7,7,0.0,0.0,1.0,0.0
781001,7,7,0.0,0.0,1.0,0.0
440630,15,1,0.0,0.0,1.0,0.0
347696,15,1,0.0,0.0,1.0,0.0
3451CC,15,1,0.0,1.0,1.0,1.0
342107,15,1,0.0,0.0,1.0,0.0
4CA80F,15,1,0.0,0.0,1.0,0.0
3944F9,15,1,0.0,0.0,1.0,0.0
4CA259,15,1,0.0,0.0,1.0,0.0
4CA9AA,15,1,0.0,0.0,1.0,0.0
392AF9,15,1,0.0,0.0,1.0,0.0
39D30E,15,1,0.0,0.0,1.0,0.0
4CADE0,16,1,0.0,0.0,1.0,0.0
4D251A,16,1,0.0,0.0,1.0,0.0
48AF08,16,1,0.0,0.0,1.0,0.0
4D228A,16,1,0.0,0.0,1.0,0.0
4CA259,16,1,0.0,0.0,1.0,0.0
4CADEF,16,1,0.0,0.0,1.0,0.0
3C6670,16,1,0.0,0.0,1.0,0.0
3C6662,16,1,0.0,0.0,1.0,0.0
3C49B1,16,1,0.0,0.0,1.0,0.0
344157,16,1,0.0,0.0,1.0,0.0
3965B2,17,1,0.0,0.0,1.0,0.0
4CA9D3,17,1,0.0,0.0,1.0,0.0
39CEB7,17,1,0.0,0.0,1.0,0.0
4CAE68,17,1,0.0,0.0,1.0,0.0
342107,17,1,0.0,0.0,1.0,0.0
4D24C4,17,1,0.0,0.0,1.0,0.0
8963A1,17,1,0.0,0.0,1.0,0.0
48C237,17,1,0.0,0.0,1.0,0.0
4CADE5,17,1,0.0,0.0,1.0,0.0
342104,17,1,0.0,0.0,1.0,0.0
3475D5,18,1,0.0,0.0,1.0,0.0
347648,18,1,0.0,0.0,1.0,0.0
347646,18,1,0.0,0.0,1.0,0.0
344197,18,1,0.0,0.0,1.0,0.0
493289,18,1,1.0,1.0,0.0,1.0
