ts_kafka,velocity,lat,lon,icao,ground,direccion
1733012702944,,,,342353,1.0,
1733013003075,,,,342353,1.0,
1733013304829,,,,342353,1.0,
1733013606171,,,,342353,1.0,
1733013906028,,,,342353,1.0,
1733014207271,,,,342353,1.0,
1733014507997,,,,342353,1.0,
1733014808472,,,,342353,1.0,
1733015108367,,,,342353,1.0,
1733015408737,,,,342353,1.0,
1733015708977,,,,342353,1.0,
1733016009258,,,,342353,1.0,
1733016309584,,,,342353,1.0,
1733016608632,,,,342353,1.0,
1733016910978,,,,342353,1.0,
1733017211543,,,,342353,1.0,
1733017512420,,,,342353,1.0,
1733017812753,,,,342353,1.0,
1733018113755,,,,342353,1.0,
1733018414600,,,,342353,1.0,
1733018714970,,,,342353,1.0,
1733019015886,,,,342353,1.0,
1733019316632,,,,342353,1.0,
1733019616721,,,,342353,1.0,
1733019916901,,,,342353,1.0,
1733020218296,,,,342353,1.0,
1733020518980,,,,342353,1.0,
1733020819746,,,,342353,1.0,
1733021120261,,,,342353,1.0,
1733021420846,,,,342353,1.0,
1733021721086,,,,342353,1.0,
1733022021299,,,,342353,1.0,
1733022322202,,,,342353,1.0,
1733022622994,,,,342353,1.0,
1733022923084,,,,342353,1.0,
1733023223619,,,,342353,1.0,
1733023524438,,,,342353,1.0,
1733023824921,,,,342353,1.0,
1733024125545,,,,342353,1.0,
1733024425093,,,,342353,1.0,
1733024727053,,,,342353,1.0,
1733025027928,,,,342353,1.0,
1733025328108,,,,342353,1.0,
1733025627187,,,,342353,1.0,
1733025928674,,,,342353,1.0,
1733026229507,,,,342353,1.0,
1733026529971,,,,342353,1.0,
1733026830169,,,,342353,1.0,
1733027131682,,,,342353,1.0,
1733027432270,,,,342353,1.0,
1733027732421,,,,342353,1.0,
1733028032212,,,,342353,1.0,
1733028334250,,,,342353,1.0,
1733028633392,,,,342353,1.0,
1733028935222,,,,342353,1.0,
1733029235414,,,,342353,1.0,
1733029535958,,,,342353,1.0,
1733029835455,,,,342353,1.0,
1733030137379,,,,342353,1.0,
1733030438865,,,,342353,1.0,
1733030739473,,,,342353,1.0,
1733031040744,,,,342353,1.0,
1733031340482,,,,342353,1.0,
1733031642209,,,,342353,1.0,
1733031944586,,,,342353,1.0,
1733032245458,,,,342353,1.0,
1733032544628,,,,342353,1.0,
1733032846182,,,,342353,1.0,
1733033146824,,,,342353,1.0,
1733033446126,,,,342353,1.0,
1733033747240,,,,342353,1.0,
1733034048064,,,,342353,1.0,
1733034350005,,,,342353,1.0,
1733034651128,,,,342353,1.0,
1733034951961,,,,342353,1.0,
1733035252810,,,,342353,1.0,
1733035553319,,,,342353,1.0,
1733035853724,,,,342353,1.0,
1733036154456,,,,342353,1.0,
1733036454702,,,,342353,1.0,
1733036755252,,,,342353,1.0,
1733037055989,,,,342353,1.0,
1733037355895,,,,342353,1.0,
1733037599261,,,,342353,1.0,
1733011500060,,,,342354,,
1733011800563,,,,342354,,
1733012101081,,,,342354,,
1733012401568,,,,342354,,
1733012702138,,,,342354,,
1733013002668,,,,342354,,
1733013304120,,,,342354,,
1733013604354,,,,342354,,
1733013905218,,,,342354,,
1733014205757,,,,342354,,
1733014506174,,,,342354,,
1733014807150,,,,342354,,
1733015107458,,,,342354,,
1733015409141,,,,342354,,
1733015709484,,,,342354,,
1733016010285,,,,342354,,
1733016310598,,,,342354,,
1733016611154,,,,342354,,
1733016911485,,,,342354,,
1733017211543,,,,342354,,
1733017511916,,,,342354,,
1733017812753,,,,342354,,
1733018112240,,,,342354,,
1733018413085,,,,342354,,
1733018713960,,,,342354,,
1733019014876,,,,342354,,
1733019314102,,,,342354,,
1733019616217,,,,342354,,
1733019916901,,,,342354,,
1733020217280,,,,342354,,
1733020516754,,,,342354,,
1733020819746,,,,342354,,
1733021119852,,,,342354,,
1733021419835,,,,342354,,
1733021721087,,,,342354,,
1733022021911,,,,342354,,
1733022321994,,,,342354,,
1733022622994,,,,342354,,
1733022923991,,,,342354,,
1733023224629,,,,342354,,
1733023524439,,,,342354,,
1733023823409,,,,342354,,
1733024125042,,,,342354,,
1733024425093,,,,342354,,
1733024725539,,,,342354,,
1733025026311,,,,342354,,
1733025326453,,,,342354,,
1733025627694,,,,342354,,
1733025928372,,,,342354,,
1733026229200,,,,342354,,
1733026529971,,,,342354,,
1733026829458,,,,342354,,
1733027131681,,,,342354,,
1733027432475,,,,342354,,
1733027732427,,,,342354,,
1733028032831,,,,342354,,
1733028333541,,,,342354,,
1733028633191,,,,342354,,
1733028933498,,,,342354,,
1733029234907,,,,342354,,
1733029535447,,,,342354,,
1733029836162,,,,342354,,
1733030136164,,,,342354,,
1733030437645,,,,342354,,
1733030738359,,,,342354,,
1733031039424,,,,342354,,
1733031339465,,,,342354,,
1733031640379,,,,342354,,
1733031939688,,,,342354,,
1733032241173,,,,342354,,
1733032541874,,,,342354,,
1733032842095,,,,342354,,
1733033142439,,,,342354,,
1733033443159,,,,342354,,
1733033742121,,,,342354,,
1733034043346,,,,342354,,
1733034343951,,,,342354,,
1733034644770,,,,342354,,
1733034945380,,,,342354,,
1733035245496,,,,342354,,
1733035545598,,,,342354,,
1733035845260,,,,342354,,
1733036144241,,,,342354,,
1733036447788,,,,342354,,
1733036748548,,,,342354,,
1733037048887,,,,342354,,
1733037346497,,,,342354,,
1733037599672,,,,342354,,
1733011500258,,,,342355,,
1733011801072,,,,342355,,
1733012100572,,,,342355,,
1733012401262,,,,342355,,
1733012702136,,,,342355,,
1733013003071,,,,342355,,
1733013303615,,,,342355,,
1733013603851,,,,342355,,
1733013903803,,,,342355,,
1733014205755,,,,342355,,
1733014508397,,,,342355,,
1733014809280,,,,342355,,
1733015109381,,,,342355,,
1733015409850,,,,342355,,
1733015709484,,,,342355,,
1733016010790,,,,342355,,
1733016314639,,,,342355,,
1733016615199,,,,342355,,
1733016916534,,,,342355,,
1733017216589,,,,342355,,
1733017516967,,,,342355,,
1733017817804,,,,342355,,
1733018118303,,,,342355,,
1733018418142,,,,342355,,
1733018720021,,,,342355,,
1733019019923,,,,342355,,
1733019320674,,,,342355,,
1733019620761,,,,342355,,
1733019920946,,,,342355,,
1733020221124,,,,342355,,
1733020521506,,,,342355,,
1733020821465,,,,342355,,
1733021121280,,,,342355,,
1733021422363,,,,342355,,
1733021722703,,,,342355,,
1733022022824,,,,342355,,
1733022322510,,,,342355,,
1733022623394,,,,342355,,
1733022923992,,,,342355,,
1733023225131,,,,342355,,
1733023524944,,,,342355,,
1733023825426,,,,342355,,
1733024125545,,,,342355,,
1733024425600,,,,342355,,
1733024726243,,,,342355,,
1733025026712,,,,342355,,
1733025326776,,,,342355,,
1733025627394,,,,342355,,
1733025928165,,,,342355,,
1733026228898,,,,342355,,
1733026529967,,,,342355,,
1733026829864,,,,342355,,
1733027129154,,,,342355,,
1733027430548,,,,342355,,
1733027731009,,,,342355,,
1733028031494,,,,342355,,
1733028332119,,,,342355,,
